Product_Name,Brand,Model,Connectivity,Type,Keys_Count,Special_Keys,Colour,Features,Selling_Price,MRP,Discount,Rating,Reviews,URL
Let us know,Let,,,,,No,,,"2,995","₹4,195₹4,195",,4.3 out of 5 stars,827,https://www.amazon.in#
Let us know,Let,,,,,No,,,698,"₹1,299₹1,299",,4.0 out of 5 stars,"7,721",https://www.amazon.in#
ZEBRONICS ZEB-KM2100 Multimedia USB Keyboard Comes with 114 Keys Including 12 Dedicated Multimedia Keys & with Rupee Key,ZEBRONICS,ZEB,Wired,Multimedia,114 Keys,Yes,,,226,₹399₹399,,3.6 out of 5 stars,"43,152",https://www.amazon.in/ZEBRONICS-ZEB-KM2100-Multimedia-Including-Dedicated/dp/B077T3BG5L/ref=sr_1_3?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-3
"Dell KB216 Wired Multimedia Keyboard - Full-Size Layout with USB Interface, Chiclet Keys, Spill Resistance with 3 Indicator Lights| Plug and Play| Hot Keys: Volume, Mute, Play/Pause, Backward, Forward",Dell,KB216 Wired Multimedia Keyboard,Wired,Multimedia,,Yes,red,"Spill, Chiclet",539,₹649₹649,,4.3 out of 5 stars,"39,095",https://www.amazon.in/Dell-KB216-Wired-Multimedia-Keyboard/dp/B00ZYLMQH0/ref=sr_1_4?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-4
"ZEBRONICS K36 Wired USB Keyboard with 106 Keys, Slim Design, Smartphone Holder, Retractable Stand, 1.2m Cable Length with Â‚Rupee Key",ZEBRONICS,K36 Wired USB Keyboard with 106 Keys,Wired,,106 Keys,Yes,red,Slim,249,₹499₹499,,3.7 out of 5 stars,"2,407",https://www.amazon.in/ZEBRONICS-Keyboard-Design-Smartphone-Retractable/dp/B0CNRW872W/ref=sr_1_5?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-5
"Zebronics K24 Wired USB Keyboard, 104 Keys, Long Life 8 Million Keystrokes, Silent & Comfortable Use, Slim Design, Retractable Stand, 1.5 Meter Textured Cable, UV Coated keycaps",Zebronics,K24 Wired USB Keyboard,Wired,,104 Keys,No,red,Slim,299,₹799₹799,,3.7 out of 5 stars,"4,063",https://www.amazon.in/Zebronics-Keyboard-keystrokes-Comfortable-Retractable/dp/B0B29G5SSW/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-6
"ZEBRONICS K20, Wired Keyboard, 104 Keys, 1.2m Cable, ₹ Key, UV Coated Keys, USB Interface, Retractable Stand, Plug and Play",ZEBRONICS,K20,Wired,,104 Keys,No,red,,249,₹299₹299,,3.8 out of 5 stars,"3,075",https://www.amazon.in/Zebronics-ZEB-K20-USB-Keyboard-Rupee/dp/B07KX9V8J4/ref=sr_1_7?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-7
"Amkette New and Improved Optimus BT 4 in 1 Multi Device Wireless Keyboard/Bluetooth Keyboard | One Click Device Switching and AI Access for Windows, MacOs, Android and iOS, Dual OS Layout (White)",Amkette,New and Improved Optimus BT 4 in 1 Multi Device Wireless Keyboard/Bluetooth Keyboard,Wireless,,,No,Blue,,749,"₹1,799₹1,799",,3.9 out of 5 stars,"1,080",https://www.amazon.in/Amkette-Optimus-Bluetooth-Switching-White/dp/B0F2HRXTNV/ref=sr_1_8?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-8
Logitech Plug and Play USB Keyboard K120,Logitech,,Wired,,,No,,,549,₹745₹745,,4.3 out of 5 stars,"8,174",https://www.amazon.in/Logitech-K120-Wired-Keyboard-Black/dp/B006FEPRO4/ref=sr_1_9?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-9
"HP 350 Compact Multi-Device Bluetooth Wireless Keyboard; Spill Resistant; Swift Pair; OS Auto-Detection, LED Indicator, Battery Life Up to 24 Months",HP,350 Compact Multi,Wireless,,,No,Blue,Spill,"1,499","₹2,499₹2,499",,4.2 out of 5 stars,"1,326",https://www.amazon.in/HP-Multi-Device-Bluetooth-Resistant-Auto-Detection/dp/B0BR3YKQQ1/ref=sr_1_10?dib=eyJ2IjoiMSJ9.3XzQq9jbAH-HIHgUc-MVILYte6jryMXTtEiLC2YmDsu77CYCzPmXkF-lLhJXfA_CZ1NHWq5Cup6hpFkACW8iv0V-qMK3L2yoxhEGhU_jUIuI1qBsg9Jbkxd_-ZUYwDHN4gz0EdHrtwyVqX1FUc5TlMcU6T7zHfCu9l1sLKj5xT6wvESpAJnv82dCM81zOlxV2ycexs7XX5kbNGVX50NNseFJP4IOyYB_MoF3cj15W7Y.x7-XPNBBM4yn2iiIR5bIVyxjg_UJpY91l796Si3yCuw&dib_tag=se&keywords=keyboards&qid=1758608148&sr=8-10
