Product_Name,Brand,Model,Connectivity,Type,Battery_Life,Driver_Size,Mic,Colour,Features,Selling_Price,MRP,Discount,Rating,Reviews,URL
Let us know,Let,,,,,,No,,,"24,989","₹35,900₹35,900",,4.2 out of 5 stars,"7,625",https://www.amazon.in#
Let us know,Let,,,,,,No,,,"19,989","₹27,900₹27,900",,4.3 out of 5 stars,"10,814",https://www.amazon.in#
"boAt Rockerz 411 (2025 Launch), 40Ms Low Latency, 40Hrs Battery, 40Mm Drivers, Enx Tech, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Active Black)",boAt,,Wireless,Over-Ear,40Hrs,40Mm,Yes,Blue,Low Latency,"1,099","₹1,099₹1,099",,4.2 out of 5 stars,"27,041",https://www.amazon.in/boAt-Integrated-Bluetooth-Headphones-Headphone/dp/B0FC2Y8XYF/ref=sr_1_3?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-3
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Black)",JBL,Tune 510BT,Wireless,On-Ear,40 Hours,,Yes,Blue,,"1,994","₹1,994₹1,994",,4.1 out of 5 stars,"26,289",https://www.amazon.in/JBL-Wireless-Headphones-Bluetooth-Assistant/dp/B08QTYYNDN/ref=sr_1_4?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-4
"boAt Rockerz 421 (2025 Launch), 40Hrs Battery, Low Latency(40Ms), 40Mm Drivers, Enx Technology, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Bold Blue)",boAt,,Wireless,Over-Ear,40Hrs,40Mm,Yes,Blue,Low Latency,"1,199","₹1,199₹1,199",,4.3 out of 5 stars,619,https://www.amazon.in/boAt-Rockerz-Technology-Integrated-Headphones/dp/B0F7LY85KB/ref=sr_1_5?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-5
"boAt Rockerz 480 W/RGB LEDs, 6 Light Modes, 40Mm Drivers, Beast Mode, 60Hrs Playback, Enx Tech, BT V5.3, Adaptive Fit & Easy Access Controls, Bluetooth Over Ear Headphones(White Sabre)",boAt,Rockerz 480 W/RGB LEDs,Wireless,Over-Ear,60Hrs,40Mm,No,Blue,,"1,499","₹1,499₹1,499",,4.1 out of 5 stars,"2,485",https://www.amazon.in/boAt-Rockerz-480-Bluetooth-Headphones/dp/B0DGTTKCJX/ref=sr_1_6?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-6
Boat BassHeads 100 in-Ear Headphones with Mic (Black),Boat,BassHeads 100 in,,In-Ear,,,Yes,Black,,349,₹999₹999,,4.1 out of 5 stars,"426,462",https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_7?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-7
"pTron Studio Evo 70hrs Playtime Wireless Over Ear Headphones with HD Mic, Low-Latency Game/Movie/Music Modes, Punchy Bass, BT5.3, Dual Device Pairing, Voice Assistant & Type-C Fast Charging (Black)",pTron,Studio Evo 70hrs Playtime Wireless Over Ear Headphones with HD Mic,Wireless,Over-Ear,70hrs,,Yes,Black,Fast Charging,699,₹699₹699,,4.3 out of 5 stars,230,https://www.amazon.in/pTron-Studio-Headphones-Low-Latency-Assistant/dp/B0DQ212KP4/ref=sr_1_8?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-8
"FPX Crystal Sound Wireless Neckband | Bluetooth Headset with HD Crystal Clear Sound, Powerful Bass & 48 Hours Playtime | Lightweight, Flexible & Comfortable",FPX,Crystal Sound Wireless Neckband,Wireless,,48 Hours,,No,Blue,,349,"₹2,999₹2,999",,2.2 out of 5 stars,4,https://www.amazon.in/FPX-Wireless-Bluetooth-Lightweight-Comfortable/dp/B0FNN8NV4R/ref=sr_1_9?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-9
"ZEBRONICS THUNDER Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, ENC, AUX, Micro SD, Voice assistant, Comfortable Earcups, Call Function(Black)",ZEBRONICS,,Wireless,,,,Yes,Blue,Gaming,599,"₹1,199₹1,199",,3.7 out of 5 stars,"25,653",https://www.amazon.in/ZEBRONICS-Bluetooth-Headphones-assistant-Comfortable/dp/B07L8KNP5F/ref=sr_1_10?dib=eyJ2IjoiMSJ9.updCXHhCEq-ie6sJFbra6wZfaSz3Bb2_lmH7uAhrJCDYMw_GWCqCq0LTlnNHkbaDtT51ZBOAJQJZmeDkQNmam4ivEm4xQHTPFc-Aw8qSy1qzfOFjWZfVqD3J8tOAJgSC1FaaGykNCbms9QZKjxQGEUdkNHe1eQWWqP9dt8TMC0dmtAQnR4ZebHKAb3B5Ywnju2xOC7SfU9uhTsl8BodsNx0_cWBB7MqhlF2jY18WEaM.ukg4YgWzJa4ynbQ7Dd0XbmU-cfYfGMZoFQPKVih6ojM&dib_tag=se&keywords=headphones&qid=1758672934&sr=8-10
