Product_Name,Selling_Price,MRP,Discount,Brand,Connectivity,FormFactor,Item_Weight,Water_Resistance,Battery_Life,Battery_Included,Frequency_Range,Detachable_Cable,Manufacturer,Model
"boAt Rockerz 411 (2025 Launch), 40Ms Low Latency, 40Hrs Battery, 40Mm Drivers, Enx Tech, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Active Black)","1,099.","₹2,999₹2,999",-63%,,Wireless,OverEar,‎300 g,,‎40 Hours,Yes,,,"‎Imagine Marketing Ltd, info@imaginemarketingindia.com",
"boAt Rockerz 550/Rockerz 558 Over Ear Bluetooth Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation(Black)","1,299.","₹4,999₹4,999",-74%,,Wireless,,‎245 g,,‎20 Hours,Yes,,,"‎Boat, Imagine Marketing Limited",
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Black)","1,999.","₹4,449₹4,449",-55%,,‎No Jack,,‎160 g,Yes,,No,‎20000 Hz,No,‎JBL,
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)","1,299.","₹3,990₹3,990",-67%,,Wireless,‎Oval,‎168 g,,‎15 Hours,Yes,‎20Hz - 20kHz,,"‎Boat, ‎Imagine Marketing Ltd",
"ZEBRONICS THUNDER Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, ENC, AUX, Micro SD, Voice assistant, Comfortable Earcups, Call Function(Black)",599.,"₹1,199₹1,199",-50%,,Wireless,,‎270 g,No,‎60 Hours,,,No,"‎Survey No 508/2, Door No 50/2, Inner Ring Road, Madhavaram, Chennai - 600060, Zebronics Industries Private Limited",
"boAt Rockerz 421 (2025 Launch), 40Hrs Battery, Low Latency(40Ms), 40Mm Drivers, Enx Technology, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Bold Blue)","1,199.","₹1,199.00₹1,199.00",-52%,,Wired,‎w/o ANC(2023),‎200 g,,‎40 Hours,,‎20-20000 hertz,,"‎Imagine Marketing Ltd, info@imaginemarketingindia.com",
"boAt BassHeads 225 in-Ear Super Extra Bass Wired Headphones, with Mic (Black)",399.,₹999₹999,-60%,,Wireless,,‎40 g,Yes,,Yes,‎20000 Hz,No,"‎Imagine Marketing Ltd, info@imaginemarketingindia.com",
"Portronics Muffs M2 Bluetooth Headphones Over Ear with Upto 40 Hrs Playtime, 40mm Dynamic Drivers, AUX 3.5mm, Powerful Bass, Laptop & PC Support,Type C Charging Port, Foldable Design(White)",749.,"₹2,499₹2,499",-70%,,Wireless,,‎150 g,,,Yes,‎20Hz - 20kHz,,"‎Portronics, 9555-245-245",
"JBL Tune 770NC Wireless Over Ear ANC Headphones with Mic, Upto 70 Hrs Battery, Speed Charge : 5 min Charge Gives up to 3H of Playback, Google Fast Pair, Dual Pairing, BT 5.3 (Black)","4,999.","₹9,999₹9,999",-50%,,Wired,‎Tune510BT,‎232 g,Yes,‎70 Hours,Yes,‎20000 Hz,No,"‎JBL, JBL",
"boAt Rockerz 412 (2025 Launch), 60Hrs Battery, 40Mm Drivers, 40Ms Low Latency, Enx Tech, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Bold Blue)","1,199.","₹1,199.00₹1,199.00",-60%,,Wireless,‎Circle,‎300 g,,‎60 Hours,No,‎0.04kHz - 20kHz,,"‎Imagine Marketing Ltd, info@imaginemarketingindia.com",
