Product_Name,Selling_Price,MRP,Discount,Brand,Model,Battery_Life,Driver_Size,Bluetooth_Version,Connectivity,Type,Mic,Colour,URL
"boAt Rockerz 411 (2025 Launch), 40Ms Low Latency, 40Hrs Battery, 40Mm Drivers, Enx Tech, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Active Black)",,,,boAt,Rockerz 411,40Hrs,40Mm,,Wireless,Over Ear,Yes,Active Black,https://www.amazon.in/boAt-Integrated-Bluetooth-Headphones-Headphone/dp/B0FC2Y8XYF/ref=sr_1_1?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-1
Boat BassHeads 100 in-Ear Headphones with Mic (Black),,,,Boat,BassHeads 100 in-Ear Headphones with Mic,,,,,,Yes,Black,https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_2?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-2
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Black)",,,,JBL,Tune 510BT,40 Hours,,Bluetooth 5.0,Wireless,On Ear,Yes,Black,https://www.amazon.in/JBL-Wireless-Headphones-Bluetooth-Assistant/dp/B08QTYYNDN/ref=sr_1_3?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-3
"ZEBRONICS THUNDER Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, ENC, AUX, Micro SD, Voice assistant, Comfortable Earcups, Call Function(Black)",,,,ZEBRONICS,,,,Bluetooth 5.3,Wireless,,Yes,Black,https://www.amazon.in/ZEBRONICS-Bluetooth-Headphones-assistant-Comfortable/dp/B07L8KNP5F/ref=sr_1_4?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-4
"boAt Rockerz 421 (2025 Launch), 40Hrs Battery, Low Latency(40Ms), 40Mm Drivers, Enx Technology, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Bold Blue)",,,,boAt,Rockerz 421,40Hrs,40Mm,,Wireless,Over Ear,Yes,Bold Blue,https://www.amazon.in/boAt-Rockerz-Technology-Integrated-Headphones/dp/B0F7LY85KB/ref=sr_1_5?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-5
"Sony WH-CH520 Wireless Bluetooth Headphones On Ear with Mic, Up to 50Hrs Battery, Quick Charge, DSEE Upscale, Multipoint Connectivity, Voice Assistant, Customized EQ-Black",,,,Sony,WH-CH520 Wireless Bluetooth Headphones On Ear with Mic,50Hrs,,,Wireless,On Ear,Yes,,https://www.amazon.in/Sony-Bluetooth-Headphones-Multipoint-Connectivity/dp/B0BS1PRC4L/ref=sr_1_6?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-6
"boAt Rockerz 550/Rockerz 558 Over Ear Bluetooth Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation(Black)",,,,boAt,Rockerz 550/Rockerz 558 Over Ear Bluetooth Headphones with Upto 20 Hours Playback,20 Hours,50MM,,,Over Ear,No,Black,https://www.amazon.in/boAt-Bluetooth-Headphones-Playback-Isolation/dp/B0856HY85J/ref=sr_1_7?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-7
"boAt Rockerz 113 (2025 Launch), 40 Hrs Playback, Dual Pair, Fast Charge, Enx Tech, Low Latency, Magnetic Buds, Bluetooth Neckband, Wireless with Mic in Ear Earphones(Active Black)",,,,boAt,Rockerz 113,40 Hrs,,,Wireless,,Yes,Active Black,https://www.amazon.in/boAt-Rockerz-Playback-Bluetooth-Earphones/dp/B0F7Y54PJX/ref=sr_1_8?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-8
"Portronics Muffs M2 Bluetooth Headphones Over Ear with Upto 40 Hrs Playtime, 40mm Dynamic Drivers, AUX 3.5mm, Powerful Bass, Laptop & PC Support,Type C Charging Port, Foldable Design(White)",,,,Portronics,Muffs M2 Bluetooth Headphones Over Ear with Upto 40 Hrs Playtime,40 Hrs,,,,Over Ear,No,White,https://www.amazon.in/Portronics-Bluetooth-Headphones-Playtime-Powerful/dp/B0C4HDNDGN/ref=sr_1_9?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-9
"boAt Rockerz 412 (2025 Launch), 60Hrs Battery, 40Mm Drivers, 40Ms Low Latency, Enx Tech, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Bold Blue)",,,,boAt,Rockerz 412,60Hrs,40Mm,,Wireless,Over Ear,Yes,Bold Blue,https://www.amazon.in/boAt-Integrated-Bluetooth-Headphones-Headphone/dp/B0FC2YZHHY/ref=sr_1_10?dib=eyJ2IjoiMSJ9.SxNPJoR7Jp07YgVlcCqtQY0dCztlDFkraUQqqoQ5YKW612IkPOcqZYT2D1a5ZFc8w9NkMa0FtK2nLCxAGcBn5v-64GOL_MiWH1i-yvkoTmjy8i11oU11ywRnkk5C3D6v9jRfL9bg8QLUdgzDmj0O2pprG4pKFYPBcb6CEpFp1T71Ik8krSJDg-gHJ84ZC8CvKXzGPBiTNOOqTHf_9ABS30JFFXblhbe_MCsfsQzgKpEQuJrIAHH1qqIeBs6_YU9U9TgpoOmHm6pIjtCg01xQiNgPJdkN3uO290hoEZEPETI.bL2jexwZxcWN9enbybc_cx9NBPQGFO9LBijZdJfcF2s&dib_tag=se&keywords=headphones&qid=1758564956&s=computers&sr=1-10
