Product_Name,Selling_Price,MRP,Discount,Noise_Control,Sensitivity,Headphones_Jack,Model_Name,Connectivity_Technology,Wireless_Communication_Technology,Included_Components,Material,Specific_Uses_For_Product,Charging_Time,Compatible_Devices,Item_Weight,Water_Resistance_Level,Net_Quantity,Style,Control_Method,Number_of_Items,Battery_Life,Audio_Driver_Type,Bluetooth_Version,Audio_Driver_Size,Earpiece_Shape,Special_Features,Manufacturer,Model,Product_Dimensions,Item_Model_Number,Batteries,Batteries_Required,Country_of_Origin,Noise Control,Headphones Jack,Model Name,Connectivity Technology,Wireless Communication Technology,Included Components,Specific Uses For Product,Charging Time,Compatible Devices,Item Weight,Water Resistance Level,Net Quantity,Control Method,Number of Items,Battery Life,Audio Driver Type,Bluetooth Version,Audio Driver Size,Earpiece Shape,Special Feature,Special Features,Product Dimensions,Item model number,Batteries Required,Country of Origin
"boAt Rockerz 411 (2025 Launch), 40Ms Low Latency, 40Hrs Battery, 40Mm Drivers, Enx Tech, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Active Black)","1,099.","₹2,999₹2,999",-63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Rockerz 550/Rockerz 558 Over Ear Bluetooth Headphones with Upto 20 Hours Playback, 50MM Drivers, Soft Padded Ear Cushions and Physical Noise Isolation(Black)","1,299.","₹4,999₹4,999",-74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JBL Tune 510BT, On Ear Wireless Headphones with Mic, up to 40 Hours Playtime, Pure Bass, Quick Charging, Dual Pairing, Bluetooth 5.0 & Voice Assistant Support for Mobile Phones (Black)","1,999.","₹4,449₹4,449",-55%,,,,,,,,,,,,,,,Tune510BT,,,,,,,,,,›,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Rockerz 450, 15 HRS Battery, 40mm Drivers, Padded Ear Cushions, Integrated Controls, Dual Modes, On Ear Bluetooth Headphones, Wireless Headphone with Mic (Luscious Black)","1,299.","₹3,990₹3,990",-67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Rockerz 421 (2025 Launch), 40Hrs Battery, Low Latency(40Ms), 40Mm Drivers, Enx Technology, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Bold Blue)","1,199.","₹2,490₹2,490",-52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZEBRONICS THUNDER Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, ENC, AUX, Micro SD, Voice assistant, Comfortable Earcups, Call Function(Black)",599.,"₹1,199₹1,199",-50%,,"Soft & comfortable earcups: Listen to music, podcasts and more for long hours with soft ear cups making it super comfortable for daily wear, All this with long playback time of 60 hours in BT mode.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt BassHeads 225 in-Ear Super Extra Bass Wired Headphones, with Mic (Black)",399.,₹399₹399,-60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portronics Muffs M2 Bluetooth Headphones Over Ear with Upto 40 Hrs Playtime, 40mm Dynamic Drivers, AUX 3.5mm, Powerful Bass, Laptop & PC Support,Type C Charging Port, Foldable Design(White)",749.,"₹2,499₹2,499",-70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JBL Tune 770NC Wireless Over Ear ANC Headphones with Mic, Upto 70 Hrs Battery, Speed Charge : 5 min Charge Gives up to 3H of Playback, Google Fast Pair, Dual Pairing, BT 5.3 (Black)","4,999.","₹9,999₹9,999",-50%,,,,,,,,,,,,,,,TUNE770NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Rockerz 412 (2025 Launch), 60Hrs Battery, 40Mm Drivers, 40Ms Low Latency, Enx Tech, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Bold Blue)","1,199.","₹2,999₹2,999",-60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
