Product_Name,Brand,Model,Connectivity,Type,Keys_Count,Special_Keys,Colour,Features,Selling_Price,MRP,Discount,URL
Let us know,Let,,,,,No,,,,,,https://www.amazon.in#
Let us know,Let,,,,,No,,,,,,https://www.amazon.in#
ZEBRONICS ZEB-KM2100 Multimedia USB Keyboard Comes with 114 Keys Including 12 Dedicated Multimedia Keys & with Rupee Key,ZEBRONICS,ZEB,Wired,Multimedia,114 Keys,Yes,,,,,,https://www.amazon.in/ZEBRONICS-ZEB-KM2100-Multimedia-Including-Dedicated/dp/B077T3BG5L/ref=sr_1_3?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-3
"ZEBRONICS K36 Wired USB Keyboard with 106 Keys, Slim Design, Smartphone Holder, Retractable Stand, 1.2m Cable Length with Â‚Rupee Key",ZEBRONICS,K36 Wired USB Keyboard with 106 Keys,Wired,,106 Keys,Yes,red,Slim,,,,https://www.amazon.in/ZEBRONICS-Keyboard-Design-Smartphone-Retractable/dp/B0CNRW872W/ref=sr_1_4?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-4
"Dell KB216 Wired Multimedia Keyboard - Full-Size Layout with USB Interface, Chiclet Keys, Spill Resistance with 3 Indicator Lights| Plug and Play| Hot Keys: Volume, Mute, Play/Pause, Backward, Forward",Dell,KB216 Wired Multimedia Keyboard,Wired,Multimedia,,Yes,red,"Spill, Chiclet",,,,https://www.amazon.in/Dell-KB216-Wired-Multimedia-Keyboard/dp/B00ZYLMQH0/ref=sr_1_5?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-5
"ZEBRONICS K20, Wired Keyboard, 104 Keys, 1.2m Cable, ₹ Key, UV Coated Keys, USB Interface, Retractable Stand, Plug and Play",ZEBRONICS,K20,Wired,,104 Keys,No,red,,,,,https://www.amazon.in/Zebronics-ZEB-K20-USB-Keyboard-Rupee/dp/B07KX9V8J4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-6
"Zebronics K24 Wired USB Keyboard, 104 Keys, Long Life 8 Million Keystrokes, Silent & Comfortable Use, Slim Design, Retractable Stand, 1.5 Meter Textured Cable, UV Coated keycaps",Zebronics,K24 Wired USB Keyboard,Wired,,104 Keys,No,red,Slim,,,,https://www.amazon.in/Zebronics-Keyboard-keystrokes-Comfortable-Retractable/dp/B0B29G5SSW/ref=sr_1_7?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-7
"Amkette New and Improved Optimus BT 4 in 1 Multi Device Wireless Keyboard/Bluetooth Keyboard | One Click Device Switching and AI Access for Windows, MacOs, Android and iOS, Dual OS Layout (White)",Amkette,New and Improved Optimus BT 4 in 1 Multi Device Wireless Keyboard/Bluetooth Keyboard,Wireless,,,No,Blue,,,,,https://www.amazon.in/Amkette-Optimus-Bluetooth-Switching-White/dp/B0F2HRXTNV/ref=sr_1_8?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-8
Logitech Plug and Play USB Keyboard K120,Logitech,,Wired,,,No,,,,,,https://www.amazon.in/Logitech-K120-Wired-Keyboard-Black/dp/B006FEPRO4/ref=sr_1_9?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-9
"Ant Esports MK700 V2 Membrane TKL Wired Gaming Keyboard, 87 UV Coated Mechanical feel Keys Cool RGB Backlight Waterproof Keyboard for PC Laptop Mobile Tablets Gaming, Design and Work Mercury White",Ant,Esports MK700 V2 Membrane TKL Wired Gaming Keyboard,Wired,Mechanical,,No,red,,,,,https://www.amazon.in/Ant-Esports-MK700-V2-Mechanical/dp/B0DFCW1ZNL/ref=sr_1_10?dib=eyJ2IjoiMSJ9.KXL0KWfZ1o_qviSPCmdrcjbx8ArN4uA3vqQqGnzSEjEjElkYRVxQzhjH1ljP3sO9JfsVxwVx-xUeZyz8js6H7njTjyNSvkpa8JAZk9s70z7g188HWGLRAFBtxIWIbpm8P-hfvJjMQ05ZfBY33z58NU8SarUfoaVZmUr4q4l3zM8r1MX_wJ82eE3zu4OQ_9HpF_dBSDLZFbOKylJgJ82lgkE_XP_hci3q0N2E2RQdtbE.7MUTm9LGl-30vUE7FRMfEUP0eJB6XQ-W-V3_SKilgEI&dib_tag=se&keywords=keyboards&qid=1758598311&sr=8-10
