Product_Name,Discount,MRP,Selling_Price,Brand,Manufacturer,Series,Colour,Form_Factor,Standing_Screen_Display_Size,Screen_Resolution,Resolution,Package_Dimensions,Item_Model_Number,Processor_Brand,Processor_Type,Processor_Speed,Processor_Count,Memory_Technology,Computer_Memory_Type,Maximum_Memory_Supported,Hard_Disk_Description,Hard_Drive_Interface,Graphics_Coprocessor,Graphics_Chipset_Brand,Graphics_Card_Description,Graphics_RAM_Type,Graphics_Card_RAM_Size,Graphics_Card_Interface,Connectivity_Type,Wireless_Type,Number_of_HDMI_Ports,Optical_Drive_Type,Operating_System,Are_Batteries_Included,Lithium_Battery_Energy_Content,Number_of_Lithium_Ion_Cells,Included_Components,Country_of_Origin,Item_Weight
"Acer [SmartChoice Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",-34%,"₹33,999₹33,999","22,490.",‎acer,"‎ACER INDIA (PRIVATE) LTD, R.S. no 38/2, Sederapet Village,Villianur Commune,Puducherry-605111, Acer",‎Aspire 3,‎Silver,‎Ultra-Portable,‎15.6 Inches,‎1366 x 768 pixels,‎1366 x 768 pixels,,‎A325-45,‎Intel,‎Others,‎1.1 GHz,‎1,‎LPDDR4X,‎SDRAM,‎8 GB,‎SSD,‎Ethernet,‎â€ŽIntel Celeron N4500,‎Intel,‎Integrated,‎SDRAM,,‎Integrated,‎Wi-Fi,‎Bluetooth,‎1,,‎Windows 11 Home,‎Yes,‎38 Watt Hours,‎2,"‎1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",‎India,‎2 kg 150 g
"ASUS ROG Strix G16, AMD Ryzen 9 8940HX, Gaming Laptop(RTX 5050-8GB/115W TGP/16GB RAM/1TB SSD/FHD+/16""/165Hz/90Whr/Windows 11/M365 Basic (1Year)*/Office Home 2024/Eclipse Gray/2.5 Kg) G614PH-RV033WS",-3%,"₹1,44,990₹1,44,990","1,39,990.",‎ASUS,"‎ASUS, INVENTEC (CHONGQING) CORPORATION, NO.66, WEST DISTRICT 2ND RD, SHAPINGBA DISTRICT, CHONGQING, CHINA 401331",‎ROG Strix G16,‎Eclipse Gray,‎gaming laptop,‎16 Inches,‎1920 x 1200 pixels,‎1920 x 1200 pixels,‎43.9 x 33.79 x 10.7 cm; 2.5 kg,‎G614PH-RV033WS,‎AMD,‎Ryzen 9,‎2.4 GHz,‎16,‎DDR5,‎DDR5 RAM,‎16 GB,‎SSD,‎USB,‎NVIDIA GeForce RTX 5050,‎NVIDIA,‎Dedicated,‎GDDR7,,‎Integrated,‎Bluetooth,‎Bluetooth,‎1,‎No Optical Storage,‎Windows 11 Home,‎Yes,‎90 Watt Hours,‎4,"‎Laptop, Power Adaptor, User Guide, Warranty Documents",‎China,‎2 kg 500 g
"HP 255 G10 AMD Athlon Dual Core 7120U - (8 GB/256 GB SSD/Windows 11 Home) Thin and Light Laptop (15.6 inch, Ash Silver, 1.35 kg)",-26%,"₹30,336₹30,336","22,390.",‎HP,"‎HP, HP India",‎HP Laptop,‎Silver,‎Netbook,‎39.6 Centimetres,‎1366 x 768 pixels,‎1366 x 768 pixels,‎52.6 x 31.4 x 6.6 cm; 1.52 kg,‎B69V0PT#ACJ,‎AMD,‎Others,‎3.5 GHz,‎1,‎DDR4,‎DDR4 SDRAM,‎8 GB,‎SSD,‎USB,‎AMD Radeon 610M Graphics,‎AMD,‎Integrated,‎DDR4 SDRAM,,‎Integrated,‎Wi-Fi,‎802.11ax,‎1,,‎Windows 11,‎Yes,‎41 Watt Hours,‎3,"‎Laptop, charger",‎China,‎1 kg 520 g
"Acer ALG, Intel Core i5 13th Gen - 13420H, NVIDIA GeForce RTX 3050-6GB DDR6, 16GB RAM, 512GB SSD, FHD 15.6""/39.62 cm, 144Hz, Windows 11 Home, Steel Gray, 1.99 KG, AL15G-53,Gaming Laptop",-20%,"₹74,999₹74,999","59,990.",‎acer,"‎Acer, Huaqin, Nanchang HuaQin Electronic Technology Co., Ltd. No. 2999 Tianxiang Road, High-tech Zone, Nanchang , Jiangxi, China",‎Acer ALG,‎Gray,‎Ultra-Portable,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,‎48.1 x 31.7 x 9.1 cm; 1.9 kg,‎AL15G-53,‎Intel,‎Core i5,‎2.1 GHz,‎1,‎DDR4,‎DDR4 SDRAM,‎64 GB,‎SSD,‎Solid State,‎NVIDIA GeForce RTX 3050,‎NVIDIA,‎Dedicated,‎GDDR6,,‎AGP,"‎Bluetooth, Wi-Fi",‎Bluetooth,‎1,,‎Windows 11 Home,‎Yes,‎54 Watt Hours,‎4,"‎‎1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",‎China,‎1 kg 900 g
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop",-35%,"₹48,419₹48,419","31,490.",‎HP,"‎HP, HP",‎HP Laptop,‎Light Silver,‎Ultra-Portable,‎39.6 Centimetres,‎1366 x 768 pixels,‎1366 x 768 pixels,‎52.1 x 31 x 6.9 cm; 1.59 kg,‎9D3M8PA,‎AMD,‎Ryzen 3,‎4.1 GHz,‎1,‎DDR5,‎DDR5 RAM,‎8 GB,‎Solid State Hard Drive,‎USB,‎AMD Radeon Graphics,‎AMD,‎Integrated,‎VRAM,,‎Integrated,‎Bluetooth,‎Bluetooth,‎1,,‎Windows,‎Yes,‎41 Watt Hours,‎3,"‎Laptop, charger",‎India,‎1 kg 590 g
"Acer Aspire Lite, AMD Ryzen 3 5300U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop",-40%,"₹46,990₹46,990","27,999.",‎acer,"‎ACER INDIA PRIVATE LIMITED, RS No.38/2, Sedarpet Village, Villanur Commune, Poducherry - 605111., Acer",‎Aspire Lite,‎Steel Gray,‎Laptop,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,,‎AL15-41,‎AMD,‎Others,‎2.6 GHz,‎1,‎DDR4,‎DDR4 SDRAM,‎32 GB,‎SSD,‎Solid State,‎AMD Radeon Graphics,‎AMD,‎Integrated,‎DDR4 SDRAM,,‎Integrated,‎Wi-Fi,‎Bluetooth,‎1,,‎Windows 11 Home,‎Yes,‎36 Watt Hours,‎3,"‎‎1U (contains Laptop 1N, Power cord 1N, Adapter 1N, User Manual 1N)",‎China,‎2 kg 640 g
"HP 15s, 12th Gen Intel Core i3-1215U (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.69kg, fy5006tu/fd0751tu/fd0752tu, UHD Graphics, HD Camera, Dual Speakers Laptop",-13%,"₹42,359₹42,359","36,990.",‎HP,"‎HP, Techfront HP 1800 258 7170",‎HP Laptop,‎Natural Silver,‎Ultra-Portable,‎39.6 Centimetres,‎1920 x 1080 pixels,‎1920 x 1080 pixels,,‎91R02PA,‎Intel,‎Core i3,‎4.4 GHz,‎1,‎DDR4,‎DDR4 SDRAM,‎8 GB,‎SSD,‎USB-C,‎Intel,‎Intel,‎Integrated,‎VRAM,,‎PCI Express,"‎Bluetooth, Wi-Fi",‎Bluetooth,‎1,,‎Windows 11 Home,‎Yes,‎41 Watt Hours,‎3,"‎Laptop, Power Adapter, User Manual",‎China,‎1 kg 700 g
"HP Pavilion x360, 13th Gen Intel Core i5-1335U (16GB DDR4, 512GB SSD) Touchscreen, 14""/35.6cm, FHD, Win 11, Office 21, Silver, 1.51kg, ek1074tu/1148tu, Iris Xe, FPR, 5MP Camera, Backlit KB Laptop",-27%,"₹90,485.33₹90,485.33","66,490.",‎HP,"‎HP, SG68- Wistron Wistron Infocomm ( Chongqing) Co.Ltd., No.18-9, Baohong Avenue, Wangjia Sub-District, Yubei District, Chongqing (China)",‎HP Laptop,‎Natural Silver,‎Convertible,‎17.3 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,,‎HP Laptop,‎Intel,‎Core i5,‎3.4 GHz,‎4,‎DDR4,‎DDR4 SDRAM,‎16 GB,‎SSD,‎USB,‎Intel Iris Xe Graphics,‎Intel,‎Integrated,‎DDR4 SDRAM,,‎Integrated,"‎Bluetooth, Wi-Fi",‎802.11a/b/g/n/ac,‎1,,‎Windows 11 Home,‎Yes,‎43 Watt Hours,‎3,"‎Laptop, charger",‎China,‎2 kg 90 g
"Primebook 2 Neo 2025 (New Launch) | 6GB RAM, 128GB Storage (Upgradable Upto 512GB) | MediaTek Helio G99 | Android 15 (PrimeOS3.0) | in-Built AI | 11.6” Thin & Light Laptop | Type-C, USB, MicroSD Ports",-36%,"₹24,990₹24,990","15,990.",‎Primebook,‎VVDN Technologies Private Limited,,‎Gray,‎Thin & Light Laptop,‎11.6 Inches,‎1366 x 768 pixels,‎1366 x 768 pixels,‎33.1 x 23.9 x 8.3 cm; 1.8 kg,,‎MediaTek,‎MediaTek Helio,‎2.2 GHz,‎1,‎LPDDR4X,‎DDR4 SDRAM,‎6 GB,‎UFS 2.2,,‎Mali-G57,‎MediaTek,‎Integrated,,,‎Integrated,"‎Bluetooth, Wi-Fi",‎802.11a/b/g/n/ac,,,‎PrimeOS 3.0,,,,"‎1 Laptop, 1 Charger, Use Manual, Welcome Card",,‎1 kg 800 g
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",-39%,"₹54,900₹54,900","33,690.",‎Lenovo,"‎Lenovo India Pvt Ltd, lenovo india",‎V15 G4 AMN,‎Gray,‎Laptop,‎15.6 Inches,‎1920 x 1080 pixels,‎1920 x 1080 pixels,,‎83CQA00WIN,‎AMD,‎Ryzen 5,‎4.3 GHz,‎1,‎SO-DIMM,‎DDR5 RAM,‎16 GB,‎SSD,‎Solid State,‎Integrated AMD Radeon™ 610M Graphics,‎AMD,‎Integrated,‎DDR5 SDRAM,,‎Integrated,"‎Standard Ports 2x USB 3.2 Gen 1 1x USB-C® 3.2 Gen 1 (support data transfer, Power Delivery (20V only) and DisplayPort™ 1.2) 1x HDMI® 1.4b 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector, WLAN + Bluetooth Wi-Fi® 6, 802.11ax 2x2 + BT5.2",‎Bluetooth,‎1,,‎Windows 11,‎Yes,‎1 Watt Hours,‎1,"‎Adaptor, Laptop, Power chord",,
